//assets.dat - Written by Chuck Bolin, October 2008
//Purpose: defines assets for game

//graphicfile, file ID, description
graphicfile, 0, menu.png,   Menu text and cindys head
graphicfile, 1, intro.png, introduction screen 
graphicfile, 2, ground.jpg, Grassy ground
graphicfile, 3, landscape1.png, Grassy sections
graphicfile, 4, bad.png, Bad guys
graphicfile, 5, help.png, Keyboard help
graphicfile, 7, tileset1.png, Tileset 1
graphicfile, 9, editor.png, editor graphics
graphicfile, 10, effects.png, special effects
graphicfile, 11, player.png, Player sprites
graphicfile, 12, play.png, Play screen stuff
graphicfile, 13, tileset2.png, Powerups

//sprites (rectangular areas of textures.
//sprite, sprite ID, file ID,left, top, width, height, scale, alpha, angle, max frames,time betw, descript

//unselected menu
sprite, 57, 11, 0, 160, 32, 32, 1, 255, 0, 4, 0.2, player shotgun

//play screen
sprite, 58, 12, 1, 5, 283, 720, 1, 255, 0, 1, 0, inventory list
sprite, 59, 12, 291, 645, 712, 85, 1, 255, 0, 1, 0, status bar
sprite, 60, 12, 295, 587, 300, 24, 1, 255, 0, 1, 0, health bar
sprite, 61, 12, 295, 613, 300, 24, 1, 255, 0, 1, 0, kindness bar
sprite, 62, 12, 295, 68, 128, 128, 1, 255, 0, 1, 0, bat1
sprite, 63, 12, 424, 68, 128, 128, 1, 255, 0, 1, 0, bat2
sprite, 64, 12, 295, 197, 128, 128, 1, 255, 0, 1, 0, pistol1
sprite, 65, 12, 424, 197, 128, 128, 1, 255, 0, 1, 0, pistol2
sprite, 66, 12, 295, 325, 128, 128, 1, 255, 0, 1, 0, shotgun1
sprite, 67, 12, 424, 325, 128, 128, 1, 255, 0, 1, 0, shotgun2
sprite, 68, 12, 295, 455, 128, 128, 1, 255, 0, 1, 0, machinegun1
sprite, 69, 12, 424, 455, 128, 128, 1, 255, 0, 1, 0, machinegun2
sprite, 70, 12, 553, 68, 128, 128, 1, 255, 0, 1, 0, rocket1
sprite, 71, 12, 682, 68, 128, 128, 1, 255, 0, 1, 0, rocket2
sprite, 72, 12, 553, 197, 128, 128, 1, 255, 0, 1, 0, flamethrower1
sprite, 73, 12, 682, 197, 128, 128, 1, 255, 0, 1, 0, flamethrower2

//sprites for game world
sprite, 74, 13, 2, 0, 32, 32, 1, 255, 0, 4, .2, bat
sprite, 75, 13, 2, 32, 32, 32, 1, 255, 0, 4, .3, pistol
sprite, 76, 13, 2, 64, 32, 32, 1, 255, 0, 4, .15, shotgun
sprite, 77, 13, 4, 96, 32, 32, 1, 255, 0, 4, .25, machinegun
sprite, 78, 13, 2, 128, 32, 32, 1, 255, 0, 4, .2, rocket
sprite, 79, 13, 5, 163, 32, 32, 1, 255, 0, 4, .15, flamethrower
sprite, 80, 13, 138, 32, 32, 32, 1, 255, 0, 4, .2, 9mm rounds
sprite, 81, 13, 140, 64, 32, 32, 1, 255, 0, 4, .3, shotgun shells
sprite, 82, 13, 138, 96, 32, 32, 1, 255, 0, 4, .4, machinegun rounds
sprite, 83, 13, 0, 204, 32, 32, 1, 255, 0, 3, .1, door

//sprites for weapons in use
sprite, 84, 13, 1, 252, 33, 31, 1, 255, 0, 12, 0.15, bullets
sprite, 85, 13, 1, 284, 33, 31, 1, 255, 0, 12, 0.1, shotgun shells
sprite, 86, 13, 1, 316, 33, 31, 1, 255, 0, 4, 0.4, machine gun rounds
sprite, 87, 13, 132, 316, 33, 30, 1, 255, 0, 8, 0.1, bat swinging
sprite, 88, 13, 0, 348, 33, 30, 1, 255, 0, 12, 0.1, rocket firing
sprite, 89, 13, 1, 383, 30, 124, 1, 255, 0, 16, 0.025, flamethrower


//bad guys
sprite, 90, 4, 0, 0, 31, 31, 1, 255, 0, 8, .25, elf
sprite, 91, 4, 0, 31, 31, 31, 1, 255, 0, 8, .1, fairy
sprite, 92, 4, 0, 64, 31, 31, 1, 255, 0, 8, .2, witch

//effects
sprite, 93, 10, 5, 270, 31, 31, 1, 255, 0, 8, .125, dying elf
sprite, 94, 10, 5, 299, 31, 31, 1, 255, 0, 8, .125, dying fairy
sprite, 95, 10, 6, 328, 31, 31, 1, 255, 0, 8, .125, dying witch
sprite, 96, 10, 8, 360, 31, 31, 1, 255, 0, 8, .125, dying block1
sprite, 97, 10, 8, 392, 31, 31, 1, 255, 0, 8, .125, dying block2
sprite, 98, 10, 8, 423, 31, 31, 1, 255, 0, 8, .125, dying block3
sprite, 99, 10, 8, 453, 31, 31, 1, 255, 0, 8, .125, dying block4
sprite, 100, 10, 8, 484, 31, 31, 1, 255, 0, 8, .125, dying block5
sprite, 101, 10, 9, 705, 32, 32, 1, 255, 0, 4, .0625, dying block6
sprite, 102, 10, 9, 705, 32, 32, 1, 255, 0, 8, .0625, dying --block6
sprite, 103, 10, 6, 519, 45, 46, 1, 255, 0, 8, .5, dying tree 1
sprite, 104, 10, 6, 575, 36, 39, 1, 255, 0, 8, .5, dying tree 2
sprite, 105, 10, 9, 628, 34, 30, 1, 255, 0, 8, .5, dying tree 3

//help
sprite, 106, 5, 26, 10, 606, 195, 1, 255, 0, 1, 0, help1
sprite, 107, 5, 654, 9, 304, 210, 1, 255, 0, 1, 0, help2
sprite, 108, 5, 30, 237, 305, 271, 1, 255, 0, 1, 0, help3
sprite, 109, 5, 337, 239, 307, 268, 1, 255, 0, 1, 0, help4
sprite, 110, 5, 25, 532, 322, 151, 1, 255, 0, 1, 0, help5

//first aid...grandma
sprite, 111, 4, 2, 102, 30, 30, 1, 255, 0, 8, .125, first aid
sprite, 112, 4, 5, 142, 30, 30, 1, 255, 0, 8, .125, grandma
sprite, 113, 4, 4, 188, 63, 63, 1, 255, 0, 8, .125, ogre
 
//inbetween stuff
sprite, 114, 0, 690, 119, 295, 295, 1, 255, 0, 1, 0, little miss
sprite, 115, 0, 129, 555, 715, 449, 1, 255, 0, 1, 0, you lose ogre



//3d models (meshes and graphics)
//mesh, model ID, file, scale x, scale y, scale z, description
mesh, 0, Box2.x, 0.02, 0.02, 0.02, Box
mesh, 1, badge.x, 1, 1, 1, Sample merit badge from xenthral


//sound files...only 1 sound track in each file...no streams
//soundfile, 0, main_loop.mp3, Sound test.
soundfile, 0, nature3.mp3, nature
soundfile, 1, click.wav, Inventory click for select.
soundfile, 2, rat-a-tat.wav, m16 //Machine_Gun.wav, machine gun
soundfile, 3, Fireball2.wav, flamethrower
soundfile, 4, Shotgun_Pump.mp3, shotgun
soundfile, 5, Gun_Shot.mp3, gun shot for pistol
soundfile, 6, aexp4.wav, rocket
soundfile, 7, horror018.wav, fairy
soundfile, 8, elf.mp3, elf
soundfile, 9, horror004.wav, witch
soundfile, 10, enchant.mp3, first aid
soundfile, 11, victory_fanfare.mp3, win
soundfile, 12, ammo.mp3, ammo
soundfile, 13, birds.mp3, birds
soundfile, 14, begin.mp3, begin level
soundfile, 15, end.mp3, end level
soundfile, 16, woman.wav, woman laughing


//sound streams
//stream, streamID, filename, description
//stream, 0, pilotvoice.mp3,     Pilot's voice sound bites.


//**************************************************************
//*               G A M E    O B J E C T    T Y P E
//**************************************************************
//object name, object ID, sprite ID, bad sprite ID, layer, radius
tree1, 0, 28, 103, 7, 10 
tree2, 1, 29, 105, 7, 10
tree3, 2, 30, 104, 7, 10
grass1, 3, 32, -1, 3, 0
block1, 4, 34, 96, 6, -1
block2, 5, 35, 97, 6, -1
block3, 6, 36, 98, 6, -1
block4, 7, 37, 99, 6, -1
block5, 8, 38, 100, 6, -1
health, 9, 111, -1, 7, -1
grandma, 10, 112, -1, 7, 16
block6, 11, 23, 101, 6, -1
pistol, 12, 75, -1, 7, -1
shotgun, 13, 76, -1, 7, -1
machinegun, 14, 77, -1, 7, -1
rocket, 15, 78, -1, 7, -1
flamethrower, 16, 79, -1, 7, -1
ammo_pistol, 17, 80, -1, 7, -1
ammo_shotgun, 18, 81, -1, 7, -1
ammo_machinegun, 19, 82, -1, 7, -1
level_exit, 20, 83, -1, 7, -1
test_pistol, 21, 84, -1, 8, -1
test_sg, 22, 85, -1, 8, -1
test_mg, 23, 86, -1, 8, -1
test_bat, 24, 87, -1, 8, -1
test_rocket, 25, 88, -1, 8, -1
test_fs, 26, 89, -1, 8, -1
elf, 27, 90, 93, 8, 10
fairy, 28, 91, 94, 8, 10
witch, 29, 92, 95, 8, 10
ogre, 30, 113, -1, 8, 30


