//Cindy and the Cookie Stealing Ogre
//level1.dat Auto generated by the in-game Editor
player, position, 280, 280
time, 300
grass1, 2304, 2432
grass1, 2432, 0
grass1, 2432, 128
grass1, 2432, 256
grass1, 2432, 384
grass1, 2432, 512
grass1, 2432, 640
grass1, 2432, 768
grass1, 2432, 896
grass1, 2432, 1024
grass1, 2432, 1152
grass1, 2432, 1280
grass1, 2432, 1408
grass1, 2432, 1536
grass1, 2432, 1664
grass1, 2432, 1792
grass1, 2432, 1920
grass1, 2432, 2048
grass1, 2432, 2176
grass1, 2432, 2304
grass1, 2432, 2432
block5, 192, 160
block5, 224, 160
block5, 256, 160
block5, 288, 160
block5, 320, 160
block5, 352, 160
block5, 384, 160
block5, 416, 160
block5, 416, 192
block5, 416, 224
block5, 416, 256
block5, 416, 288
block5, 416, 320
block5, 416, 352
block5, 416, 384
block5, 192, 416
block5, 224, 416
block5, 256, 416
block5, 288, 416
block5, 320, 416
block5, 352, 416
block5, 384, 416
block5, 416, 416
pistol, 320, 352
tree1, 64, 192
tree1, 32, 256
tree1, 96, 256
ammo_pistol, 96, 32
block2, 0, 512
block2, 32, 512
block2, 64, 512
block2, 96, 512
block2, 128, 512
block2, 160, 512
block2, 192, 512
block2, 224, 512
block2, 256, 512
block2, 288, 512
block2, 320, 512
block2, 352, 512
block2, 384, 512
block2, 416, 512
block2, 448, 512
block2, 480, 512
block2, 512, 512
block2, 544, 512
block2, 576, 512
block2, 608, 512
block2, 640, 512
block2, 672, 512
block2, 704, 512
block2, 736, 512
block2, 736, 480
block2, 736, 448
block2, 736, 416
block2, 736, 384
block2, 736, 352
block2, 736, 288
block2, 736, 256
block2, 736, 224
block2, 736, 192
block2, 736, 160
block2, 736, 128
block2, 736, 64
block2, 736, 32
block2, 736, 0
block2, 704, 192
block2, 672, 192
block2, 640, 192
block2, 608, 192
block2, 576, 192
block2, 544, 192
block3, 960, 96
block3, 992, 96
block3, 1024, 96
block3, 1056, 96
block3, 1088, 96
block3, 1120, 96
block3, 1152, 96
block3, 1184, 96
block3, 1216, 96
block3, 1248, 96
block3, 1280, 96
block3, 1312, 96
block3, 960, 224
block3, 992, 224
block3, 1024, 224
block3, 1056, 224
block3, 1088, 224
block3, 1120, 224
block3, 1152, 224
block3, 1184, 224
block3, 1216, 224
block3, 1248, 224
block3, 1280, 224
block3, 1312, 224
block3, 1344, 224
block3, 1376, 224
block3, 960, 352
block3, 992, 352
block3, 1024, 352
block3, 1056, 352
block3, 1088, 352
block3, 1120, 352
block3, 1152, 352
block3, 1184, 352
block3, 1216, 352
block3, 1248, 352
block3, 1280, 352
block3, 1312, 352
block3, 1344, 352
block3, 1376, 352
block3, 960, 480
block3, 992, 480
block3, 1024, 480
block3, 1056, 480
block3, 1088, 480
block3, 1120, 480
block3, 1152, 480
block3, 1184, 480
block3, 1216, 480
block3, 1248, 480
block3, 1280, 480
block3, 1312, 480
block3, 1344, 480
block3, 1376, 480
block3, 1344, 96
block3, 1376, 96
block3, 1408, 96
block3, 1440, 96
block3, 1472, 96
block3, 1504, 96
block3, 1536, 96
block3, 1568, 96
block3, 1600, 96
block3, 1632, 96
block3, 1664, 96
block3, 1696, 96
block3, 1728, 96
block3, 1760, 96
block3, 1792, 96
block3, 1824, 96
block3, 1408, 224
block3, 1440, 224
block3, 1472, 224
block3, 1504, 224
block3, 1536, 224
block3, 1568, 224
block3, 1600, 224
block3, 1632, 224
block3, 1664, 224
block3, 1696, 224
block3, 1728, 224
block3, 1760, 224
block3, 1792, 224
block3, 1824, 224
block3, 1408, 352
block3, 1440, 352
block3, 1472, 352
block3, 1504, 352
block3, 1536, 352
block3, 1568, 352
block3, 1600, 352
block3, 1632, 352
block3, 1664, 352
block3, 1696, 352
block3, 1728, 352
block3, 1760, 352
block3, 1792, 352
block3, 1824, 352
block3, 1408, 480
block3, 1440, 480
block3, 1472, 480
block3, 1504, 480
block3, 1536, 480
block3, 1568, 480
block3, 1600, 480
block3, 1632, 480
block3, 1664, 480
block3, 1696, 480
block3, 1728, 480
block3, 1760, 480
block3, 1792, 480
block3, 1824, 480
block3, 1664, 480
block3, 1696, 480
block3, 1728, 480
block3, 1760, 480
block3, 1792, 480
block3, 1824, 480
block3, 1856, 480
block3, 1888, 480
block3, 1920, 480
block3, 1952, 480
block3, 1984, 480
block3, 2016, 480
block3, 2048, 480
block3, 2080, 480
block3, 2112, 480
block3, 2144, 480
block3, 2176, 480
block3, 2208, 480
block3, 2240, 480
block3, 2272, 480
block3, 2304, 480
block3, 2304, 448
block3, 2304, 416
block3, 2304, 384
block3, 2304, 352
block3, 2304, 320
block3, 2304, 288
block3, 2304, 256
block3, 2304, 224
block3, 2304, 160
block3, 2304, 128
block3, 2304, 96
block3, 2304, 64
block3, 2304, 32
block3, 2304, 0
block3, 1856, 224
block3, 1888, 224
block3, 1920, 224
block3, 1952, 224
block3, 1984, 224
block3, 2016, 224
block3, 2048, 224
block3, 2080, 224
block3, 2112, 224
block3, 1856, 96
block3, 1888, 96
block3, 1920, 96
block3, 1952, 96
block3, 1984, 96
block3, 2016, 96
block3, 2048, 96
block3, 2080, 96
block3, 2112, 96
block3, 2144, 96
block3, 2176, 96
block3, 2240, 96
block3, 2272, 96
block3, 2176, 224
block3, 2208, 224
block3, 2240, 224
block3, 2272, 224
block3, 1888, 352
block3, 1920, 352
block3, 1952, 352
block3, 1984, 352
block3, 2016, 352
block3, 2048, 352
block3, 2080, 352
block3, 2112, 352
block3, 2144, 352
block3, 2176, 352
block3, 2208, 352
block3, 2240, 352
block2, 736, 544
block2, 736, 576
block2, 736, 608
block2, 736, 640
block2, 768, 608
block2, 800, 608
block2, 832, 608
block2, 864, 608
block2, 896, 608
block2, 928, 608
block2, 960, 608
block2, 992, 608
block2, 1024, 608
block2, 2432, 352
block2, 2432, 384
block2, 2432, 416
block2, 2432, 448
block2, 2432, 480
block2, 2432, 512
block2, 2432, 544
block2, 2432, 576
block2, 2432, 608
block2, 2464, 640
block2, 2432, 640
block2, 2400, 640
block2, 2368, 640
block2, 2336, 640
block2, 2304, 640
block2, 2272, 640
block2, 2240, 640
block2, 2208, 640
block2, 2176, 640
block2, 2144, 640
block2, 2112, 640
block2, 2080, 640
block2, 2048, 640
block2, 2016, 640
block2, 1984, 640
block2, 1952, 640
block2, 1920, 640
block2, 1888, 640
block2, 1856, 640
block4, 1536, 512
block4, 1536, 544
block4, 1536, 576
block4, 1536, 608
block4, 1536, 640
block4, 1536, 672
ammo_pistol, 800, 32
ammo_pistol, 1376, 128
block2, 1280, 128
block4, 1248, 128
block4, 1248, 160
block4, 1248, 192
block4, 1632, 256
block4, 1632, 288
block4, 1632, 320
block4, 1824, 384
block4, 1824, 416
block4, 1824, 448
ammo_pistol, 2496, 384
shotgun, 1984, 288
ammo_shotgun, 2464, 64
ammo_shotgun, 1664, 640
health, 2048, 32
block6, 1984, 2208
block6, 1984, 2176
block6, 1984, 2144
block6, 1984, 2112
block6, 1984, 2080
block6, 1984, 2048
block6, 2016, 2048
block6, 2048, 2048
block6, 2080, 2048
block6, 2112, 2048
block6, 2144, 2048
block6, 2176, 2048
block6, 2176, 2080
block6, 2176, 2112
block6, 2176, 2144
block6, 2176, 2176
block6, 2176, 2208
block6, 2048, 2240
block6, 2016, 2240
block6, 1984, 2240
block6, 1952, 2240
block6, 1952, 2208
block6, 1952, 2176
block6, 1952, 2144
block6, 1952, 2112
block6, 1952, 2080
block6, 1952, 2048
block6, 1952, 2016
block6, 1984, 2016
block6, 2016, 2016
block6, 2048, 2016
block6, 2080, 2016
block6, 2112, 2016
block6, 2144, 2016
block6, 2176, 2016
block6, 2208, 2016
block6, 2208, 2048
block6, 2208, 2080
block6, 2208, 2112
block6, 2208, 2144
block6, 2208, 2176
block6, 2208, 2208
block6, 2208, 2240
block6, 2176, 2240
block6, 2144, 2240
block6, 2048, 2304
block6, 2016, 2304
block6, 1984, 2304
block6, 1952, 2304
block6, 2048, 2272
block6, 2016, 2272
block6, 1984, 2272
block6, 1952, 2272
block6, 1920, 2304
block6, 1920, 2272
block6, 1920, 2240
block6, 1920, 2208
block6, 1920, 2176
block6, 1920, 2144
block6, 1920, 2112
block6, 1920, 2080
block6, 1920, 2048
block6, 1920, 2016
block6, 1920, 1984
block6, 1952, 1984
block6, 1984, 1984
block6, 2016, 1984
block6, 2048, 1984
block6, 2080, 1984
block6, 2112, 1984
block6, 2144, 1984
block6, 2176, 1984
block6, 2208, 1984
block6, 2240, 1984
block6, 2240, 2016
block6, 2240, 2048
block6, 2240, 2080
block6, 2240, 2112
block6, 2240, 2144
block6, 2240, 2176
block6, 2240, 2208
block6, 2240, 2240
block6, 2240, 2272
block6, 2144, 2272
block6, 2144, 2304
block6, 2176, 2272
block6, 2176, 2304
block6, 2208, 2272
block6, 2208, 2304
block6, 2240, 2304
level_exit, 2080, 2112
ammo_shotgun, 2240, 2368
ammo_pistol, 1888, 2400
block3, 2528, 1792
block3, 2496, 1792
block3, 2464, 1792
block3, 2432, 1792
block3, 2400, 1792
block3, 2368, 1792
block3, 2336, 1792
block3, 2304, 1792
block3, 2272, 1792
block3, 2240, 1792
block3, 2208, 1792
block3, 2176, 1792
block3, 2144, 1792
block3, 2112, 1792
block3, 2080, 1792
block3, 2048, 1792
block3, 2016, 1792
block3, 1984, 1792
block3, 1952, 1792
block3, 1920, 1792
block3, 1888, 1792
block3, 1856, 1792
block3, 1824, 1792
block3, 1792, 1792
block3, 1760, 1792
block3, 1728, 1792
block3, 1696, 1792
block3, 1664, 1792
block3, 1632, 1792
block3, 1632, 1824
block3, 1632, 1856
block3, 1632, 1888
block3, 1632, 1920
block3, 1632, 1952
block3, 1632, 1984
block3, 1632, 2016
block3, 1632, 2048
block3, 1632, 2080
block3, 1632, 2112
block3, 1632, 2144
block3, 1632, 2176
block3, 1632, 2208
block3, 1632, 2240
block3, 1632, 2272
block3, 1632, 2304
block3, 1632, 2336
block3, 1632, 2368
block3, 1632, 2496
block3, 1632, 2528
block3, 1600, 2304
block3, 1568, 2304
block3, 1536, 2304
block3, 1504, 2304
block3, 1472, 2304
block3, 1440, 2304
block3, 1408, 2304
block3, 1376, 2304
block3, 1344, 2304
block3, 1312, 2304
block3, 992, 2528
block3, 992, 2496
block3, 992, 2464
block3, 992, 2432
block3, 992, 2400
block3, 992, 2368
block3, 992, 2336
block3, 992, 2304
block3, 992, 2272
block3, 992, 2240
block3, 992, 2208
block3, 992, 2176
block4, 2208, 800
block4, 2176, 800
block4, 2144, 800
block4, 2112, 800
block4, 2080, 800
block4, 2048, 800
block4, 2016, 800
block4, 1984, 800
block4, 1952, 800
block4, 1920, 800
block4, 1888, 800
block4, 1856, 800
block4, 1792, 800
block4, 1760, 800
block4, 1728, 800
block4, 1696, 800
block4, 1664, 800
block4, 1312, 800
block4, 1280, 800
block4, 1248, 800
block4, 1184, 800
block4, 1152, 800
block4, 1088, 800
block4, 1056, 800
block4, 1024, 800
block4, 192, 1184
block4, 192, 1216
block4, 192, 1248
block4, 192, 1280
block4, 192, 1312
block4, 192, 1344
block4, 192, 1376
block4, 192, 1408
block4, 192, 1440
block4, 192, 1472
block4, 192, 1504
block4, 192, 1536
block4, 224, 1184
block4, 256, 1184
block4, 288, 1184
block4, 320, 1184
block4, 352, 1184
block4, 384, 1184
block4, 416, 1184
block4, 448, 1184
block4, 480, 1184
block4, 512, 1184
block4, 544, 1184
block4, 544, 1216
block4, 544, 1248
block4, 544, 1280
block4, 544, 1312
block4, 544, 1344
block4, 544, 1376
block4, 544, 1408
block4, 544, 1440
block4, 544, 1472
block4, 544, 1504
block4, 544, 1536
block4, 224, 1536
block4, 256, 1536
block4, 288, 1536
block4, 320, 1536
block4, 352, 1536
block4, 384, 1536
block4, 416, 1536
block4, 448, 1536
block4, 480, 1536
block4, 512, 1536
tree3, 416, 1248
tree3, 288, 1344
tree3, 416, 1376
tree2, 352, 1248
tree2, 384, 1472
tree2, 256, 1472
tree1, 448, 1440
tree1, 384, 1312
tree1, 480, 1312
tree1, 320, 1408
block3, 320, 1888
block3, 320, 1920
block3, 320, 1952
block3, 320, 1984
block3, 320, 2016
block3, 320, 2048
block3, 352, 1888
block3, 384, 1888
block3, 416, 1888
block3, 448, 1888
block3, 480, 1888
block3, 512, 1888
block3, 544, 1888
block3, 576, 1888
block3, 608, 1888
block3, 640, 1888
block3, 704, 1888
block3, 736, 1888
block3, 768, 1888
block3, 352, 2048
block3, 384, 2048
block3, 416, 2048
block3, 448, 2048
block3, 480, 2048
block3, 512, 2048
block3, 544, 2048
block3, 576, 2048
block3, 608, 2048
block3, 640, 2048
block3, 672, 2048
block3, 704, 2048
block3, 736, 2048
block3, 768, 2048
block3, 768, 2016
block3, 768, 1984
block3, 768, 1952
block3, 768, 1920
tree2, 576, 1952
tree2, 448, 1920
tree2, 416, 1984
tree1, 128, 2208
tree1, 384, 2336
tree1, 128, 2432
tree1, 800, 2336
tree1, 1152, 2336
tree1, 1248, 1248
tree1, 1280, 1248
tree1, 1312, 1248
tree1, 1376, 1248
tree1, 1408, 1248
tree1, 1440, 1248
tree1, 1472, 1248
tree1, 1504, 1248
tree1, 1344, 1248
tree1, 1216, 1312
tree1, 1280, 1312
tree1, 1312, 1312
tree1, 1344, 1312
tree1, 1376, 1312
tree1, 1408, 1312
tree1, 1440, 1312
tree1, 1472, 1312
tree1, 1504, 1312
tree1, 1536, 1312
tree1, 1568, 1312
tree1, 1536, 1280
tree1, 1504, 1280
tree1, 1472, 1280
tree1, 1440, 1280
tree1, 1376, 1280
tree1, 1344, 1280
tree1, 1312, 1280
tree1, 1280, 1280
tree1, 1248, 1280
tree1, 1216, 1280
tree1, 1184, 1280
tree1, 1120, 1344
tree1, 1152, 1376
tree1, 1216, 1376
tree1, 1248, 1376
tree1, 1280, 1376
tree1, 1312, 1376
tree1, 1344, 1376
tree1, 1376, 1376
tree1, 1408, 1376
tree1, 1440, 1376
tree1, 1472, 1376
tree1, 1216, 1344
tree1, 1248, 1344
tree1, 1280, 1344
tree1, 1344, 1344
tree1, 1376, 1344
tree1, 1408, 1344
tree1, 1440, 1344
tree1, 1184, 1440
tree1, 1216, 1440
tree1, 1248, 1440
tree1, 1280, 1440
tree1, 1312, 1440
tree1, 1344, 1440
tree1, 1376, 1440
tree1, 1408, 1440
tree1, 1152, 1440
tree1, 1120, 1440
tree1, 1088, 1440
tree1, 1056, 1440
tree1, 1120, 1408
tree1, 1088, 1408
tree1, 1056, 1408
tree1, 1024, 1408
tree1, 1088, 1376
tree1, 1056, 1376
tree1, 1120, 1280
tree1, 1088, 1280
tree1, 1088, 1312
tree1, 1056, 1312
tree1, 1024, 1312
tree1, 1472, 1440
tree1, 1504, 1440
tree1, 1536, 1440
tree1, 1504, 1408
tree1, 1536, 1408
tree1, 1568, 1408
tree1, 1600, 1408
tree1, 1120, 1504
tree1, 1152, 1504
tree1, 1216, 1504
tree1, 1248, 1504
tree1, 1280, 1504
tree1, 1312, 1504
tree1, 1344, 1504
tree1, 1376, 1504
tree1, 1344, 1472
tree1, 1312, 1472
tree1, 1280, 1472
tree1, 1248, 1472
tree1, 1216, 1472
tree1, 1184, 1472
tree1, 1152, 1472
tree1, 1120, 1472
tree1, 992, 1088
tree1, 1024, 1088
tree1, 1056, 1088
tree1, 1088, 1088
tree1, 1120, 1088
tree1, 1088, 1120
tree1, 1056, 1120
tree1, 1024, 1120
tree1, 992, 1152
tree1, 960, 1152
tree1, 1088, 1184
tree1, 1056, 1184
tree1, 1024, 1184
tree1, 992, 1184
tree1, 960, 1184
tree1, 1120, 1056
tree1, 1088, 1056
tree1, 1056, 1056
tree1, 1024, 1056
tree1, 992, 1056
tree1, 960, 1056
tree1, 1088, 1024
tree1, 1056, 1024
tree1, 1024, 1024
tree1, 960, 1024
tree1, 928, 1024
block6, 1888, 1216
block6, 1888, 1248
block6, 1888, 1280
block6, 1920, 1280
block6, 1920, 1248
block6, 1920, 1216
block6, 1952, 1216
block6, 1952, 1248
block6, 1952, 1280
block6, 352, 704
block6, 352, 736
block6, 352, 768
block6, 320, 768
block6, 352, 768
block6, 352, 800
block6, 384, 800
block6, 416, 800
block6, 448, 800
block6, 480, 800
block6, 480, 768
block6, 480, 736
block6, 480, 704
block6, 448, 704
block6, 416, 704
block6, 384, 704
block6, 384, 736
block6, 384, 768
block6, 416, 768
block6, 448, 768
block6, 448, 736
block6, 416, 736
block6, 384, 736
block6, 320, 800
block6, 320, 736
block6, 320, 704
tree1, 608, 608
tree1, 704, 800
tree1, 192, 800
tree1, 1312, 608
tree1, 1536, 384
tree1, 1088, 416
tree1, 1248, 288
tree1, 1376, 288
tree1, 1440, 128
tree1, 1344, 160
tree1, 1920, 128
tree1, 2464, 192
tree1, 2336, 288
tree1, 2464, 992
tree1, 2208, 992
shotgun, 608, 64
tree1, 512, 288
tree1, 640, 384
tree1, 640, 288
tree1, 480, 32
tree1, 544, 96
tree1, 640, 96
tree1, 832, 160
tree1, 1056, 160
ammo_pistol, 1728, 32
ammo_pistol, 1728, 160
ammo_pistol, 1728, 416
ammo_pistol, 2144, 416
ammo_shotgun, 1536, 160
ammo_shotgun, 928, 768
ammo_shotgun, 736, 928
ammo_shotgun, 128, 1728
ammo_shotgun, 96, 1792
ammo_shotgun, 192, 1792
ammo_shotgun, 128, 1824
ammo_shotgun, 128, 1856
ammo_shotgun, 64, 1888
ammo_shotgun, 160, 1888
ammo_shotgun, 224, 1920
ammo_shotgun, 128, 1952
ammo_shotgun, 352, 1760
ammo_pistol, 672, 1952
ammo_pistol, 576, 1984
ammo_pistol, 512, 1952
ammo_pistol, 480, 2016
ammo_pistol, 384, 1952
ammo_pistol, 672, 1984
tree2, 1248, 2336
tree2, 1280, 2336
tree2, 1344, 2400
tree2, 1792, 2208
tree2, 1760, 2304
tree2, 2048, 2432
tree2, 2080, 2368
tree2, 1888, 1856
tree2, 1792, 1920
tree2, 2400, 2112
tree2, 2400, 2336
tree2, 2304, 2432
tree2, 2240, 1888
tree2, 2464, 1888
tree3, 2368, 1856
tree3, 2400, 2016
tree3, 2080, 1888
tree3, 2496, 2112
tree3, 2176, 2464
ammo_shotgun, 2144, 1856
elf, 128, 96, 37
elf, 576, 320, 15
elf, 672, 448, 34
elf, 800, 128, 14
elf, 832, 320, 34
elf, 1120, 288, 35
elf, 1184, 160, 44
elf, 1312, 416, 32
elf, 1536, 32, 11
elf, 1152, 0, 44
elf, 1760, 288, 36
elf, 2016, 416, 10
elf, 1664, 416, 14
elf, 1696, 544, 43
elf, 2112, 576, 38
elf, 2112, 32, 21
elf, 1856, 32, 35
elf, 2496, 128, 29
elf, 2368, 576, 12
elf, 2496, 576, 24
elf, 2400, 832, 44
elf, 2272, 1024, 27
elf, 2400, 1152, 39
elf, 2272, 928, 14
elf, 1984, 960, 14
elf, 2112, 1152, 40
elf, 2112, 896, 28
elf, 1344, 864, 26
elf, 1216, 1024, 42
elf, 1440, 1120, 38
elf, 480, 1248, 43
elf, 320, 1312, 11
elf, 384, 1408, 17
elf, 480, 896, 39
elf, 288, 960, 10
elf, 544, 1024, 20
elf, 160, 640, 36
elf, 896, 896, 33
elf, 800, 736, 10
elf, 800, 1184, 21
elf, 704, 1344, 22
